info: Server is running on port 2000 || timestamp: 04-02-2024 8:24:24 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:24:24 PM 
info: api hit || timestamp: 04-02-2024 8:25:2 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:28:9 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:28:9 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:28:17 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:28:17 PM 
info: api hit || timestamp: 04-02-2024 8:28:24 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:29:26 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:29:26 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:29:35 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:29:35 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:30:48 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:30:49 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:30:59 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:30:59 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 8:32:53 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 8:32:53 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:03:39 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:03:39 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:12:0 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:12:0 PM 
info: api hit || timestamp: 04-02-2024 10:12:8 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:21:34 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:21:34 PM 
info: api hit || timestamp: 04-02-2024 10:21:40 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:26:22 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:26:22 PM 
info: api hit || timestamp: 04-02-2024 10:26:31 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:27:6 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:27:6 PM 
info: api hit || timestamp: 04-02-2024 10:27:14 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:41:9 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:41:9 PM 
info: api hit || timestamp: 04-02-2024 10:41:15 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 10:41:42 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 10:41:42 PM 
